name,categories,lat,lng
SKS Katthi Kabab Rolls,Asian Restaurant,18.648233513681046,73.76580479257629
Pizza Hut,Pizza Place,18.658638139560722,73.77664875872894
KFC,Fast Food Restaurant,18.607925397450717,73.82094503079585
McDonald's,Fast Food Restaurant,18.59850141074531,73.83089324288922
Ginger Hotel Pune,Hotel,18.627507745349124,73.8042582536056
Bird Valley Resto bar,Restaurant,18.65677283122612,73.80351987604139
Domino's Pizza,Pizza Place,18.65800066327875,73.77608556834879
Eat- The Good Food Place,Mexican Restaurant,18.65377051272392,73.77121373060317
Rasoi Se,Diner,18.656126398078232,73.76962124815076
McDonald's,Fast Food Restaurant,18.636638568767065,73.796581959627
Jai Ganesh INOX,Multiplex,18.64850234729604,73.7848642182236
Pimpri Market,Market,18.62184955775321,73.80229365951044
Gayatri Pure Veg Restaurant,Asian Restaurant,18.658614255720988,73.7689867760805
Delhi Swad,Indian Restaurant,18.656914890862094,73.76988739995825
Gokul Sweet Mart,Food Court,18.655534935183496,73.77495966433453
Big Bazaar,Department Store,18.636082616408682,73.79627042900505
Neelam Tea,Tea Room,18.61947827129053,73.80356892455536
Mazzedar,Snack Place,18.65681851343909,73.77109307819687
Cafe Coffee Day,Café,18.65688435128514,73.77111605959509
Slice Of Heaven,Sandwich Place,18.598179,73.79069
Vision Galleria,Market,18.59379768371582,73.79279327392578
Solaris Fitness World,Gym,18.593607967904227,73.79310456618838
PapaJee's,Indian Restaurant,18.664049104804803,73.80981300958096
Jagtap dairy chowk,Bus Station,18.59240089121168,73.7852318952181
Copa Villa,Restaurant,18.592438,73.78399
Durga veg Restra,Indian Restaurant,18.588211681027666,73.78415184211835
Waghjai Restaurant and Bar,Restaurant,18.587390971106444,73.78633492213508
Physc Gym,Gym,18.63672651916756,73.84536090955913
Vijay Snacks Centre,Snack Place,18.588423338360307,73.78256047663163
Crosswords,Bookstore,18.556177260208784,73.80913090623139
Naturals Icecream,Ice Cream Shop,18.556192387421536,73.80916850500064
Air Life Studio,Gym,18.553572828434206,73.80696545202225
Shivsagar pure veg,Vegetarian / Vegan Restaurant,18.56050231694856,73.80577476909971
The Chocolate Room,Chocolate Shop,18.56656840719089,73.80744134307663
Pagdandi,Coffee Shop,18.55197242132442,73.79309090542617
Café Maroo,Korean Restaurant,18.564801152783108,73.80914093257947
Westend mall,Shopping Mall,18.561814327331174,73.80722022679363
The Kathi Crossing,Indian Restaurant,18.555726225140205,73.79487224489763
Chutney Sauce Murabba,Fast Food Restaurant,18.551995075609206,73.79306579707719
